month,n_train,n_test,train_end,tail_threshold
2025-01,984,23,2024-12-30,-0.00712006586015758
2025-02,1007,20,2025-01-30,-0.00711510001307026
2025-03,1027,19,2025-02-27,-0.0070787345861904995
2025-04,1047,19,2025-03-28,-0.00711510001307026
2025-05,1065,21,2025-04-29,-0.0070886493520005
2025-06,1087,21,2025-05-30,-0.0070787345861904995
2025-07,1107,23,2025-06-27,-0.00702303574016192
2025-08,1130,19,2025-07-30,-0.00697999202167259
2025-09,1150,22,2025-08-29,-0.0069366912538517305
2025-10,1171,20,2025-09-29,-0.0067789437084118
2025-11,1191,19,2025-10-30,-0.0067545858732209
2025-12,1211,22,2025-11-28,-0.0067264458194954
2026-01,1232,20,2025-12-30,-0.00668532632288726
2026-02,1253,21,2026-01-30,-0.00672282216654356
2026-03,1274,19,2026-02-27,-0.006721010340067639
2026-04,1293,20,2026-03-30,-0.00677608856758012
2026-05,1312,9,2026-04-29,-0.006763659791150151
