event,model,n,events,rate,brier,logloss,auc,year
two_sided_1sigma,level_controls,73,23,0.3150684931506849,0.22676220206823444,0.6475872785010266,0.5008695652173913,
two_sided_1sigma,level_controls,54,16,0.2962962962962963,0.21125706856643317,0.6103801323736318,0.5361842105263158,2025.0
two_sided_1sigma,level_controls,19,7,0.3684210526315789,0.27082942359966955,0.7533339043367803,0.45238095238095244,2026.0
two_sided_1sigma,plus_shape,73,23,0.3150684931506849,0.2287678227493025,0.6527504193494592,0.4930434782608696,
two_sided_1sigma,plus_shape,54,16,0.2962962962962963,0.21284944659308316,0.6136343688688882,0.518092105263158,2025.0
two_sided_1sigma,plus_shape,19,7,0.3684210526315789,0.2740095234038204,0.7639223522942398,0.40476190476190477,2026.0
down_1sigma,level_controls,73,13,0.1780821917808219,0.15643739428315634,0.500555450923154,0.5743589743589744,
down_1sigma,level_controls,54,6,0.1111111111111111,0.10287240207469255,0.36277845695887084,0.5173611111111112,2025.0
down_1sigma,level_controls,19,7,0.3684210526315789,0.30867474055984306,0.892132170611117,0.5714285714285714,2026.0
down_1sigma,plus_shape,73,13,0.1780821917808219,0.15613101327018897,0.49151317601044986,0.5961538461538461,
down_1sigma,plus_shape,54,6,0.1111111111111111,0.10864385462706679,0.37792937266699633,0.607638888888889,2025.0
down_1sigma,plus_shape,19,7,0.3684210526315789,0.2910945167822203,0.8143303013023706,0.488095238095238,2026.0
up_1sigma,level_controls,73,10,0.136986301369863,0.12268109852825204,0.40682020098899047,0.6047619047619048,
up_1sigma,level_controls,54,10,0.18518518518518517,0.15113931594175106,0.48342756323018604,0.55,2025.0
up_1sigma,level_controls,19,0,0.0,0.04179984903725487,0.18909401356664496,,2026.0
up_1sigma,plus_shape,73,10,0.136986301369863,0.11343915615847855,0.38522845641588066,0.6349206349206349,
up_1sigma,plus_shape,54,10,0.18518518518518517,0.14714613800056384,0.48153271492125643,0.5818181818181818,2025.0
up_1sigma,plus_shape,19,0,0.0,0.017640365659920394,0.1115216164532336,,2026.0
